,Strategy,Number of addresses,Number of accesses in loop,Different addresses in loop,Step size,Mirrored,Rate,Average runtime
204,11-9-4-1-m,11,9,4,1,False,0.0,4838.468474779824
205,11-9-5-1-m,11,9,5,1,False,0.0,11402.52018835788
206,11-9-6-1-m,11,9,6,1,False,0.12001200120012002,12357.352205661698
207,11-9-7-1-m,11,9,7,1,False,0.31018611166700016,11982.478112791747
208,11-9-8-1-m,11,9,8,1,False,0.0,11066.1572730003
209,11-9-9-1-m,11,9,9,1,False,0.20004000800160032,9508.65511716403
210,12-1-1-1-m,12,1,1,1,False,0.09001800360072014,1405.531512605042
211,12-1-10-1-m,12,1,10,1,False,0.09000900090009001,2020.7614284285285
212,12-1-2-1-m,12,1,2,1,False,0.13002600520104018,1341.0381076215242
213,12-1-3-1-m,12,1,3,1,False,0.10002000400080016,1508.369810943283
214,12-1-4-1-m,12,1,4,1,False,0.0,1599.7861144457784
215,12-1-5-1-m,12,1,5,1,False,0.9704852426213106,1675.0183054916474
216,12-1-6-1-m,12,1,6,1,False,0.11002200440088017,2396.907644586752
217,12-1-7-1-m,12,1,7,1,False,0.12012012012012012,2445.7576272881865
218,12-1-8-1-m,12,1,8,1,False,0.16003200640128026,2356.2340170085045
219,12-1-9-1-m,12,1,9,1,False,0.010004001600640256,2234.3941182354706
220,12-10-1-1-m,12,10,1,1,False,0.050035024517162005,2356.812725090036
221,12-10-10-1-m,12,10,10,1,False,0.0,11497.484529888856
222,12-10-2-1-m,12,10,2,1,False,1.06010601060106,3239.022513508105
223,12-10-3-1-m,12,10,3,1,False,0.05001000200040008,4978.664064845392
224,12-10-4-1-m,12,10,4,1,False,0.2500500100020004,5647.996096486838
225,12-10-5-1-m,12,10,5,1,False,2.99029902990299,14274.655649038461
226,12-10-6-1-m,12,10,6,1,False,0.17006802721088435,15645.785535410198
227,12-10-7-1-m,12,10,7,1,False,0.0,15856.728718615585
228,12-10-8-1-m,12,10,8,1,False,0.1900380076015203,15026.639623397436
229,12-10-9-1-m,12,10,9,1,False,0.23002300230023,13563.369042851422
230,12-2-1-1-m,12,2,1,1,False,0.13002600520104018,1358.8948894889488
231,12-2-10-1-m,12,2,10,1,False,2.103154732098147,3096.0394275993194
232,12-2-2-1-m,12,2,2,1,False,0.17005101530459138,1436.062224889956
233,12-2-3-1-m,12,2,3,1,False,0.22013207924754855,1893.1670167016703
234,12-2-4-1-m,12,2,4,1,False,0.14001400140014,2036.4279711884753
235,12-2-5-1-m,12,2,5,1,False,0.07001400280056011,3057.438951160929
236,12-2-6-1-m,12,2,6,1,False,0.050020008003201284,3875.7206882753103
237,12-2-7-1-m,12,2,7,1,False,0.3201280512204882,3877.5405702851426
238,12-2-8-1-m,12,2,8,1,False,0.03002101471029721,3756.4790395197597
239,12-2-9-1-m,12,2,9,1,False,0.0,3462.9640748523966
240,12-3-1-1-m,12,3,1,1,False,0.05005506056662329,1449.628325665133
241,12-3-10-1-m,12,3,10,1,False,0.11002200440088017,4170.11774709884
242,12-3-2-1-m,12,3,2,1,False,0.16001600160016002,1720.9511902380475
243,12-3-3-1-m,12,3,3,1,False,0.040016006402561026,2393.1656662665064
244,12-3-4-1-m,12,3,4,1,False,0.0,2588.496849054716
245,12-3-5-1-m,12,3,5,1,False,2.69026902690269,4547.855098568998
246,12-3-6-1-m,12,3,6,1,False,0.14004201260378113,5373.380890445223
247,12-3-7-1-m,12,3,7,1,False,0.2000200020002,5430.949854869383
248,12-3-8-1-m,12,3,8,1,False,0.1900380076015203,5208.015709425656
249,12-3-9-1-m,12,3,9,1,False,0.17001700170017,4761.588694347173
250,12-4-1-1-m,12,4,1,1,False,0.16003200640128026,1546.127225445089
251,12-4-10-1-m,12,4,10,1,False,0.16003200640128026,5208.18542980086
252,12-4-2-1-m,12,4,2,1,False,0.18003600720144028,1895.5969387755101
